ACAO;DATA;ABERTURA;FECHAMENTO;VARIACAO;MINIMO;MAXIMO;VOLUME
RAPT4;16/04/2021;14,44;14,23;-0,41;14,14;14,44;29,86M
RAPT4;15/04/2021;13,89;14,29;3,82;13,78;14,3;48,84M
RAPT4;14/04/2021;13,75;13,76;-0,28;13,61;13,93;26,19M
RAPT4;13/04/2021;13,79;13,8;0,07;13,65;13,83;5,42M
RAPT4;12/04/2021;14;13,79;-1,39;13,56;14,08;38,29M
RAPT4;09/04/2021;13,79;13,98;1,34;13,57;13,98;23,66M
RAPT4;08/04/2021;13,22;13,8;4,66;13,22;13,92;45,70M
RAPT4;07/04/2021;13,5;13,19;-1,89;13,14;13,55;25,33M
RAPT4;06/04/2021;12,91;13,44;3,84;12,91;13,5;33,14M
RAPT4;05/04/2021;12,91;12,94;0,91;12,85;13,05;36,38M
RAPT4;01/04/2021;13,45;12,83;-3,94;12,65;13,46;104,89M
WEGE3;30/04/2021;35,42;35,01;-1,35;34,5;35,42;428,14M
WEGE3;29/04/2021;36,56;35,49;-2,77;35,23;36,8;431,76M
WEGE3;28/04/2021;38,1;36,5;-1,38;36,24;38,9;571,34M
WEGE3;27/04/2021;37,25;37,01;-0,82;36,67;37,44;126,97M
WEGE3;26/04/2021;37,7;37,32;-0,77;37,02;37,98;127,52M
WEGE3;23/04/2021;36,78;37,61;3,2;36,66;37,7;155,16M
WEGE3;22/04/2021;37,25;36,44;-1,34;36,44;37,75;210,94M
WEGE3;20/04/2021;37,78;36,94;-2,55;36,84;38,35;198,27M
WEGE3;19/04/2021;38,57;37,9;-1,62;37,9;38,67;210,70M
WEGE3;16/04/2021;39,05;38,53;-1,6;38,48;39,35;155,62M
WEGE3;15/04/2021;38,31;39,15;2,72;38,15;39,25;266,95M
WEGE3;14/04/2021;37,7;38,12;0,67;37,65;38,63;195,87M
WEGE3;13/04/2021;37,73;37,86;0,32;37,53;38,03;48,23M
WEGE3;12/04/2021;37,91;37,74;-0,04;37,68;38,51;129,67M
WEGE3;09/04/2021;37,92;37,76;-1,24;37,07;38,1;199,55M
WEGE3;08/04/2021;38,13;38,23;0,39;37,81;38,63;179,76M
WEGE3;07/04/2021;38,55;38,08;-1,22;37,76;38,68;184,54M
WEGE3;06/04/2021;38,63;38,55;0,25;38,04;38,95;216,54M
WEGE3;05/04/2021;38,15;38,46;2,46;37,94;38,58;185,50M
WEGE3;01/04/2021;37,64;37,53;0,67;37,38;38,79;242,73M
MGLU3;30/04/2021;20,1;20,03;-1,14;19,87;20,39;588,67M
MGLU3;29/04/2021;20,63;20,26;-1,89;19,91;20,67;696,03M
MGLU3;28/04/2021;20,94;20,65;-1,43;20,58;21,1;587,87M
MGLU3;27/04/2021;21,6;20,95;-3,5;20,93;21,65;331,62M
MGLU3;26/04/2021;21,61;21,71;-0,09;21,5;21,81;423,37M
MGLU3;23/04/2021;21,26;21,73;2,74;21,13;21,73;555,58M
MGLU3;22/04/2021;21,71;21,15;-2,08;21,11;21,85;481,58M
MGLU3;20/04/2021;21,64;21,6;-0,23;21,42;21,8;332,51M
MGLU3;19/04/2021;21,91;21,65;-1,23;21,54;22,15;479,03M
MGLU3;16/04/2021;22,19;21,92;-1,26;21,76;22,25;433,23M
MGLU3;15/04/2021;22,22;22,2;0,36;22,1;22,52;408,49M
MGLU3;14/04/2021;22,35;22,12;0,91;21,87;22,35;532,94M
MGLU3;13/04/2021;21,72;21,92;1,25;21,48;21,93;166,64M
MGLU3;12/04/2021;21,78;21,65;-0,09;21,61;21,93;412,25M
MGLU3;09/04/2021;21,65;21,67;-0,82;21,6;22,02;773,92M
MGLU3;08/04/2021;20,23;21,85;8,28;20,21;21,9;1,19B
MGLU3;07/04/2021;20,5;20,18;-2,04;20,03;20,53;505,80M
MGLU3;06/04/2021;20,34;20,6;0,88;20,06;20,72;539,91M
MGLU3;05/04/2021;20,6;20,42;-0,1;19,93;20,73;548,03M
MGLU3;01/04/2021;20,28;20,44;0,99;20,05;21,02;882,26M
